player_no,team_code,first_name,last_name,song,song_code
761,SEA,Sam,Haggerty,"The Godfather Waltz",s0761
762,SEA,Teoscar,Hernández,"Ve Por Tu Suevo",s0762
763,SEA,Cooper,Hummel,"Hell and Back",s0763
764,SEA,Jarred,Kelenic,Levels,s0764
765,SEA,George,Kirby,"Higher (Flume Remix)",s0765
766,SEA,"Tommy La","La Stella","Can't Be Touched",s0766
767,SEA,Andrés,Muñoz,"Pepas - David Guetta Remix",s0767
768,SEA,Penn,Murfee,"Little Wing",s0768
769,SEA,Tom,Murphy,"My Own Summer (Shove It)",s0769
770,SEA,AJ,Pollock,Evenflow,s0770
771,SEA,Cal,Raleigh,"The Way You Move",s0771
772,SEA,Robbie,Ray,Layers,s0772
773,SEA,Julio,Rodríguez,"Married To The Game",s0773
774,SEA,Paul,Sewald,"Jump Around",s0774
775,SEA,Eugenio,Suárez,"Ameno Amapiano Remix (You Wanna Bamba)",s0775
776,SEA,Taylor,Trammell,Digits,s0776
777,SEA,Kolten,Wong,"Hawai'i '78",s0777
778,STL,Nolan,Arenado,"Dreamin Of The Past",s0778
779,STL,Alec,Burleson,rodman,s0779
780,STL,Dylan,Carlson,"Follow God",s0780
781,STL,Wilson,Contreras,"Calm Down",s0833
782,STL,Paul,DeJong,"Runnin Down A Dream",s0782
783,STL,Brendan,Donovan,Desperado,s0783
784,STL,Tommy,Edman,Stay,s0784
785,STL,Paul,Goldschmidt,"In The House",s0785
786,STL,Nolan,Gorman,"Ride Wit Me",s0786
787,STL,Andrew,Knizner,"Shake Ya Tailfeather",s0787
788,STL,Taylor,Motter,"Hold On",s0788
789,STL,Tyler,O'Neill,"Hold Me Closer",s0789
790,STL,Jordan,Walker,Versace,s0790
791,STL,Juan,Yepez,"Yep Dat's Me",s0791
792,STL,Genesis,Cabrera,"Gogo Dance",s0792
793,STL,Jack,Flaherty,Trance,s0793
794,STL,Giovanny,Gallegos,"El Indio Enamorado",s0794
795,STL,Ryan,Helsley,"Hells Bells",s0795
796,STL,Jordan,Hicks,"Mbappé (Remix)",s0796
797,STL,Dakota,Hudson,"Rock of Ages",s0797
798,STL,Steven,Matz,"River of Life",s0798
799,STL,Miles,Mikolas,"Mississippi Queen",s0799
800,STL,Jordan,Montgomery,"Back Down",s0800
801,STL,Packy,Naughton,Chip,s0801
802,STL,Andre,Pallante,"What I Can't Put Down",s0903
803,STL,Chris,Stratton,Brother,s0803
804,STL,Zack,Thompson,"Ride The Lightning",s0804
805,STL,Drew,VerHagen,"Public Service Announcement",s0805
806,STL,Adam,Wainwright,"God's Country",s0806
807,STL,Jake,Woodford,"Glitter Ain't Gold",s0807
