song_code,song_name,artist_name,artist2_name
s0371,"Feds Watching","2 Chains","Pharrell Williams"
s0340,"Feliz Cumpleaños Ferxxo","Feid Cuero Na' Ma'",
s0445,"Fiesta & Calle","Rocky Rd","Imperio Record"
s0415,"Fire Emoji",YB,
s0523,"Fire On the Mountain","Grateful Dead",
s0625,"Fire Squad","J. Cole",
s0094,"Fire Up The Night","Blake Shelton",
s0753,Fireman,"Lil Wayne",
s0382,"First Off",Future,
s0635,Flower,Mo,
s0348,Fly,"Dark Heart",
s0780,"Follow God","Kanye West",
s0029,"For The Night","Pop Smoke","Lil Baby"
s0698,"For Whom The Bell Tolls",Metallica,
s0548,Forever,Drake,"Kanye West"
s0369,"Forgot About Dre","Dr. Dre",
s0295,"Free Smoke",Drake,
s0681,Freestyle,"Lil Ba",
s0475,"Friends In Low Places","Garth Brooks",
s0347,Frogman,"Whiskey Myers",
s0602,"From 84","Mac Dre",
s0133,Frozen,"Lil Ba",
s0273,"Fruits Of My Labor","Caleb Gordon",
s0855,"Fuss and Fight","Ko Wetzel",
s0002,GALAPIN,"El Alfa",
s0443,"Gang Gang",Jackboys,"Sheck Wes"
s0759,"Gangsta's Paradise",""Coolio, L.V."",
s0085,Gasolina,"Daddy Yankee",
s0418,Gasoline,Seether,
s0240,"Get Into It (Yuh)","Doja Cat",
s0407,"Get It Today","Drew Deezy","French Montana"
s0618,Ghost,"Kid Cudi",
s0388,GHOST!,"Kid Cudi",
s0722,"Gimme Shelter","The Rolling Stones",
s0607,Gladiador,"Eladio Carrion",
s0807,"Glitter Ain't Gold","Whiskey Myers",
s0806,"God's Country","Blake Shelton",
s0810,"God's Gonna Cut You Down","Johnny Cash",
s0792,"Gogo Dance","El Alfa","El Alfa"
s0902,"Going Bad","Meek Mill",Drake
s0821,"Going to California","Led Zeppelin",
s0741,"Gold Thangs & Pinky Rangs",Ramirez,
s0121,"Good Feeling","Flo Rida",
s0561,"Good For You","Good For You",
s0677,"Good God Almighty",Crowder,
